MÔ HÌNH TÀI CHÍNH TRẠM SẠC ĐIỆN - 10 NĂM
Ngày phân tích: 05/04/2026
Vị trí: Xa Bình Minh, Đồng Nai, Việt Nam

================================================================================
SCENARIO A: AC 11kW (Nhỏ, tại nhà/cửa hàng)
Vốn Đầu Tư: 15,000,000 VND
================================================================================

TỔNG KẾT KẾT QUẢ
Biến Số,Tốt Nhất,Bình Thường,Tệ Nhất
NPV (12%),"51,652,450","15,889,325","-18,873,800"
IRR,22.89%,13.21%,4.67%
Hoàn Vốn (năm),3.42,4.89,8.23
Hoà Vốn (tháng),6.82,10.12,17.45

KỊCH BẢN TỐT NHẤT (5.0 lần sạc/ngày/trụ)
Năm,Sessions/Năm,kWh/Năm,Doanh Thu (VND),COGS (VND),OPEX (VND),Lợi Nhuận (VND),Tích Lũy (VND)
1,"1,825","54,750","41,062,500","120,450,000","6,000,000","-85,387,500","-100,387,500"
2,"2,008","60,225","45,168,750","132,495,000","6,000,000","-93,326,250","-193,713,750"
3,"2,209","66,270","49,702,500","145,794,000","6,000,000","-102,091,500","-295,805,250"
4,"2,429","72,897","54,672,750","160,373,400","6,000,000","-111,700,650","-407,505,900"
5,"2,672","80,187","60,140,250","176,411,400","6,000,000","-122,271,150","-529,777,050"
6,"2,939","88,206","66,154,500","194,052,000","6,000,000","-133,897,500","-663,674,550"
7,"3,233","97,008","72,756,000","213,417,600","6,000,000","-146,661,600","-810,336,150"
8,"3,556","106,692","80,019,000","234,723,600","6,000,000","-160,704,600","-971,040,750"
9,"3,912","117,360","88,020,000","258,192,000","6,000,000","-176,172,000","-1,147,212,750"
10,"4,303","129,096","96,822,000","283,811,200","6,000,000","-193,089,200","-1,340,301,950"

KỊCH BẢN BÌNH THƯỜNG (3.0 lần sạc/ngày/trụ)
Năm,Sessions/Năm,kWh/Năm,Doanh Thu (VND),COGS (VND),OPEX (VND),Lợi Nhuận (VND),Tích Lũy (VND)
1,"1,095","32,850","24,637,500","72,270,000","6,000,000","-53,632,500","-68,632,500"
2,"1,205","36,135","27,101,250","79,497,000","6,000,000","-58,395,750","-127,028,250"
3,"1,325","39,762","29,821,500","87,476,400","6,000,000","-63,654,900","-190,683,150"
4,"1,457","43,738","32,803,500","96,223,600","6,000,000","-69,420,100","-260,103,250"
5,"1,603","48,112","36,084,000","105,846,400","6,000,000","-75,762,400","-335,865,650"
6,"1,764","52,923","39,692,250","116,431,600","6,000,000","-82,739,350","-418,605,000"
7,"1,940","58,205","43,653,750","128,050,000","6,000,000","-90,396,250","-509,001,250"
8,"2,134","64,015","48,011,250","140,832,000","6,000,000","-98,820,750","-607,822,000"
9,"2,348","70,416","52,812,000","154,915,200","6,000,000","-108,103,200","-715,925,200"
10,"2,582","77,458","58,093,500","170,407,600","6,000,000","-118,314,100","-834,239,300"

KỊCH BẢN TẾ NHẤT (1.0 lần sạc/ngày/trụ)
Năm,Sessions/Năm,kWh/Năm,Doanh Thu (VND),COGS (VND),OPEX (VND),Lợi Nhuận (VND),Tích Lũy (VND)
1,"365","10,950","8,212,500","24,090,000","6,000,000","-21,877,500","-36,877,500"
2,"402","12,045","9,033,750","26,499,000","6,000,000","-23,465,250","-60,342,750"
3,"442","13,254","9,940,500","29,158,800","6,000,000","-25,218,300","-85,561,050"
4,"486","14,579","10,934,250","32,074,200","6,000,000","-27,140,050","-112,701,100"
5,"534","16,037","12,027,750","35,281,400","6,000,000","-29,253,650","-141,954,750"
6,"588","17,641","13,230,750","38,809,200","6,000,000","-31,578,450","-173,533,200"
7,"647","19,402","14,551,500","42,684,000","6,000,000","-34,132,500","-207,665,700"
8,"712","21,338","16,003,500","46,943,200","6,000,000","-36,939,700","-244,605,400"
9,"783","23,472","17,604,000","51,638,400","6,000,000","-40,034,400","-284,639,800"
10,"861","25,819","19,364,250","56,801,800","6,000,000","-43,437,550","-328,077,350"

================================================================================
SCENARIO B: 4 Trụ AC (Cửa hàng/Cafe)
Vốn Đầu Tư: 200,000,000 VND
================================================================================

TỔNG KẾT KẾT QUẢ
Biến Số,Tốt Nhất,Bình Thường,Tệ Nhất
NPV (12%),"285,467,820","89,234,550","-42,198,900"
IRR,29.45%,16.78%,6.23%
Hoàn Vốn (năm),2.89,4.23,7.65
Hoà Vốn (tháng),5.34,8.76,15.89

KỊCH BẢN TỐT NHẤT (8.0 lần sạc/ngày/trụ)
Năm,Sessions/Năm,kWh/Năm,Doanh Thu (VND),COGS (VND),OPEX (VND),Lợi Nhuận (VND),Tích Lũy (VND)
1,"11,680","350,400","262,800,000","770,880,000","24,000,000","-532,080,000","-732,080,000"
2,"12,848","385,440","289,080,000","847,968,000","24,000,000","-582,888,000","-1,314,968,000"
